IMO,Name,Flag,Type,Age,Date d'inspection,Type d'inspection,Port d'inspection,Nombre de deficienes,Detentions,,,,
7636327,KEMI 1,Finland,Other special activities,40,13/12/2016,More detailed inspection,Estonia - Noblessneri,7,,,,,
9558036,KIKKIC,United Kingdom,General cargo/multipurpose,8,13/12/2016,Initial inspection,France - Marseille (GPM),4,,,,,
9250074,LIPARI M.,Italy,Chemical tanker,15,13/12/2016,More detailed inspection,Spain - Algeciras,7,Detention,,,,
9101493,MANOLIS P,Marshall Islands,General cargo/multipurpose,22,13/12/2016,More detailed inspection,Bulgaria - Burgas,1,,,,,
8758847,ODN TAY IV,Marshall Islands,MODU & FPSO,35,13/12/2016,Initial inspection,Spain - Santa Cruz de Tenerife,5,,,,,
9406829,OPS HAMBURG,Liberia,General cargo/multipurpose,12,13/12/2016,Initial inspection,France - Marseille (GPM),3,,,,,
9104110,PETER S,Liberia,Bulk carrier,22,13/12/2016,Expanded inspection,Belgium - Antwerpen,6,,,,,
9711913,PRINCESSE OUI,Panama,Bulk carrier,2,13/12/2016,More detailed inspection,Russian Federation - Saint Petersburg,6,,,,,
9345520,RONJA PIONEER,Norway,General cargo/multipurpose,11,13/12/2016,More detailed inspection,United Kingdom - Mallaig,4,,,,,
9439474,SCHELDEBANK,Netherlands,General cargo/multipurpose,9,13/12/2016,More detailed inspection,France - Brest,2,,,,,
9290775,SEA LYNX,Malta,Oil tanker,12,13/12/2016,More detailed inspection,Netherlands - Rotterdam,1,,,,,
7943287,SORMOVSKIY-118,Cook Islands,General cargo/multipurpose,36,13/12/2016,More detailed inspection,Russian Federation - Rostov/Don,5,,,,,
9570876,SOUND SOLUTION,"Gibraltar, UK",Other special activities,7,13/12/2016,More detailed inspection,Denmark - Fredericia,2,,,,,
9564140,STRANDJA,Malta,Bulk carrier,6,13/12/2016,More detailed inspection,Poland - Police,2,,,,,
8719114,SUNNA,Faroe Islands,General cargo/multipurpose,28,13/12/2016,More detailed inspection,Iceland - Hafnarfjordur,4,,,,,
9626156,VECTIS ISLE,"Isle of Man, UK",General cargo/multipurpose,4,13/12/2016,More detailed inspection,Greece - Kalilimenes,3,,,,,
9430997,WILSON NORFOLK,Malta,General cargo/multipurpose,8,13/12/2016,More detailed inspection,Russian Federation - Murmansk,4,,,,,
7917446,ZHEN HUA 11,Saint Vincent and the Grenadines,Heavy load,36,13/12/2016,More detailed inspection,Italy - Genoa,8,,,,,
9114476,ALLEGRA,Liberia,Bulk carrier,21,14/12/2016,More detailed inspection,Russian Federation - Saint Petersburg,4,,,,,
9180918,ANTIGONI,Marshall Islands,Bulk carrier,17,14/12/2016,Expanded inspection,Italy - Venice,1,,,,,
9243801,ARCTICA-2,Russian Federation,General cargo/multipurpose,16,14/12/2016,Initial inspection,Belgium - Zeebrugge,1,,,,,
9803754,AZAM SEALINK II,Niue,Ro-Ro passenger ship,1,14/12/2016,More detailed inspection,Greece - Piraeus,2,,,,,
9109108,BSLE NINA,Panama,General cargo/multipurpose,24,14/12/2016,Initial inspection,Belgium - Antwerpen,1,,,,,
9317846,CHEMROAD ROSE,Panama,Chemical tanker,11,14/12/2016,Initial inspection,Belgium - Antwerpen,2,,,,,
9443619,GOLDEN ZHEJIANG,Hong Kong (China),Bulk carrier,7,14/12/2016,More detailed inspection,Canada - Robert's Bank,1,,,,,
9001813,HAV SNAPPER,Bahamas,General cargo/multipurpose,26,14/12/2016,More detailed inspection,United Kingdom - Belfast,3,,,,,
8870839,LETNIY BEREG,Russian Federation,General cargo/multipurpose,25,14/12/2016,More detailed inspection,Belgium - Antwerpen,9,,,,,
9110559,MARUS,Antigua and Barbuda,Container,22,14/12/2016,Initial inspection,United Kingdom - Tilbury,1,,,,,
9301483,MSC PARIS,Portugal,Container,11,14/12/2016,More detailed inspection,Spain - Las Palmas,5,,,,,
9394260,NINA BRES,Denmark,General cargo/multipurpose,11,14/12/2016,Initial inspection,Spain - Sevilla,2,,,,,
9481738,OMMAX,Comoros,General cargo/multipurpose,6,14/12/2016,More detailed inspection,Russian Federation - Eysk,5,,,,,
7818389,REGA,Cook Islands,General cargo/multipurpose,37,14/12/2016,More detailed inspection,Russian Federation - Temryuk,8,,,,,
9257010,RIDGEBURY SALLY B,Marshall Islands,Oil tanker,14,14/12/2016,Expanded inspection,Norway - Hervikfjorden,4,,,,,
9006277,RIX STAR,Latvia,General cargo/multipurpose,25,14/12/2016,More detailed inspection,Poland - Nowy Port/Gdansk,3,,,,,
7810143,SCAN VIKING,Norway,General cargo/multipurpose,37,14/12/2016,Initial inspection,Spain - Santa Pola,2,,,,,
9327140,SEA FORTUNE,Hong Kong (China),Chemical tanker,12,14/12/2016,Expanded inspection,Italy - Ravenna,1,,,,,
9348326,SHAIR SABIR,Azerbaijan,General cargo/multipurpose,11,14/12/2016,More detailed inspection,Russian Federation - Eysk,4,,,,,
9227962,SOLITAIRE I,Panama,General cargo/multipurpose,17,14/12/2016,More detailed inspection,France - Bordeaux (GPM),4,,,,,
7329144,SORMOVSKIY-32,Comoros,General cargo/multipurpose,42,14/12/2016,More detailed inspection,Russian Federation - Temryuk,22,Detention,,,,
9348211,TROMS FJORD,"Isle of Man, UK",Offshore supply,11,14/12/2016,Initial inspection,Netherlands - Den Helder,1,,,,,
9520596,ULTRA LANIGAN,Panama,Bulk carrier,6,14/12/2016,More detailed inspection,Canada - Vancouver,10,,,,,
8918461,WILSON SAGA,Cyprus,General cargo/multipurpose,26,14/12/2016,More detailed inspection,Russian Federation - Murmansk,2,,,,,
9275024,ADRIANA STAR,Liberia,Container,13,15/12/2016,More detailed inspection,Belgium - Antwerpen,10,,,,,
8030283,AVIVA,Togo,General cargo/multipurpose,34,15/12/2016,More detailed inspection,Bulgaria - Burgas,21,Detention,,,,
9548653,BANOS A,Marshall Islands,Bulk carrier,7,15/12/2016,More detailed inspection,Italy - Monfalcone,3,,,,,
8008228,BELA,Panama,Other special activities,35,15/12/2016,More detailed inspection,United Kingdom - Harwich,5,,,,,
9157416,BEST VOYAGER,Panama,Bulk carrier,19,15/12/2016,Expanded inspection,Greece - Eleusina (Elefsis),7,,,,,
8866682,BLACKSMITH,Vanuatu,General cargo/multipurpose,40,15/12/2016,More detailed inspection,Russian Federation - Temryuk,16,Detention,,,,
