IMO,Name,Flag,Type,Age,Date d'inspection,Type d'inspection,Port d'inspection,Nombre de deficienes,Detentions,,,,
9292151,MAINE TRADER,Malta,Container,13,30/07/2017,More detailed inspection,United Kingdom - Shellhaven,3,,,,,
8136556,REINA,Palau,General cargo/multipurpose,34,30/07/2017,Expanded inspection,Russian Federation - Taganrog,6,,,,,
9505314,ACCUM,"Gibraltar, UK",General cargo/multipurpose,8,31/07/2017,More detailed inspection,Netherlands - Rotterdam,5,Detention,,,,
9293325,AFRICAN SPRINTER,Malta,Chemical tanker,14,31/07/2017,Expanded inspection,Spain - Las Palmas,15,,,,,
9195810,ANTONIA,Finland,General cargo/multipurpose,19,31/07/2017,More detailed inspection,Poland - Szczecin,13,Detention,,,,
9359210,ASVIRA,Malta,General cargo/multipurpose,12,31/07/2017,More detailed inspection,Bulgaria - Varna,3,,,,,
9341328,ATLANTIC TWIN,"Gibraltar, UK",Chemical tanker,11,31/07/2017,Initial inspection,Belgium - Antwerpen,1,,,,,
9123960,AYLA,Cook Islands,Bulk carrier,22,31/07/2017,Expanded inspection,France - Rouen (GPM),1,,,,,
9394210,BARON,Turkey,General cargo/multipurpose,11,31/07/2017,More detailed inspection,France - Marseille (GPM),3,,,,,
9612155,BONNIE VENTURE,Hong Kong (China),Bulk carrier,6,31/07/2017,More detailed inspection,Netherlands - Amsterdam,14,Detention,,,,
9628568,BUNUN WISDOM,Panama,General cargo/multipurpose,6,31/07/2017,More detailed inspection,Belgium - Antwerpen,8,,,,,
8303173,CEG COSMOS,"Gibraltar, UK",General cargo/multipurpose,35,31/07/2017,Initial inspection,Ireland - Wicklow,4,,,,,
9046526,DOLE ASIA,Bahamas,Refrigerated cargo,24,31/07/2017,More detailed inspection,Belgium - Antwerpen,2,,,,,
9255737,ENFORCER,Netherlands,Container,15,31/07/2017,More detailed inspection,Poland - Gdynia,13,,,,,
9465514,EUROCARGO MALTA,Italy,Ro-Ro cargo,7,31/07/2017,Initial inspection,Malta - Valletta,1,,,,,
9342633,GIBUNKER 100,"Gibraltar, UK",Oil tanker,11,31/07/2017,More detailed inspection,Spain - Algeciras,2,,,,,
9487067,GREAT REWARD,Hong Kong (China),General cargo/multipurpose,8,31/07/2017,More detailed inspection,Germany - Brake,2,,,,,
9197662,HARVEST PLAINS,Marshall Islands,Bulk carrier,17,31/07/2017,Expanded inspection,Romania - Constanta,5,,,,,
9087295,HL ATLAS,"Korea, Republic of",Bulk carrier,23,31/07/2017,More detailed inspection,Canada - Robert's Bank,4,,,,,
9266205,IOANNA POL,Marshall Islands,Bulk carrier,13,31/07/2017,Expanded inspection,Greece - Piraeus,1,,,,,
9579195,JOYME,Croatia,Commercial yacht,8,31/07/2017,More detailed inspection,Italy - Naples,8,Detention,,,,
7434949,JULIA AK,Lebanon,Livestock carrier,41,31/07/2017,More detailed inspection,Spain - Cartagena,7,,,,,
7901693,JULIA L.S.,"Tanzania, United Republic of",Livestock carrier,37,31/07/2017,More detailed inspection,Portugal - Sines,8,,,,,
7824261,KIGORIAK,Russian Federation,Offshore supply,38,31/07/2017,More detailed inspection,Denmark - Odense,6,,,,,
8913057,KING VICTOR,Togo,General cargo/multipurpose,28,31/07/2017,Expanded inspection,Romania - Midia,7,,,,,
9144055,LUCKY SPIRIT,Panama,Bulk carrier,19,31/07/2017,Expanded inspection,Greece - Lavrion (Laurium),1,,,,,
9586447,MAR,Malta,General cargo/multipurpose,11,31/07/2017,More detailed inspection,Spain - Sevilla,7,,,,,
9391103,MIM,Jamaica,Commercial yacht,13,31/07/2017,More detailed inspection,Italy - Naples,1,,,,,
9667863,MULTRATUG 26,Netherlands,Tug,5,31/07/2017,More detailed inspection,Bulgaria - Burgas,2,,,,,
9603192,NEW LAUREL,Hong Kong (China),Oil tanker,5,31/07/2017,More detailed inspection,Netherlands - Rotterdam,1,,,,,
9079157,NORDIC BOTHNIA,Panama,Bulk carrier,22,31/07/2017,Expanded inspection,Norway - Kirkenes Anchorage,7,,,,,
8918605,ORAVITA,Singapore,Chemical tanker,27,31/07/2017,More detailed inspection,Netherlands - Rotterdam,2,,,,,
9545027,PEAK BILBAO,Netherlands,General cargo/multipurpose,7,31/07/2017,Initial inspection,Sweden - Jatterson,7,,,,,
9220988,SEATTLE,Cyprus,Bulk carrier,16,31/07/2017,Expanded inspection,Canada - Vancouver,1,,,,,
9226695,SEMELA,Comoros,General cargo/multipurpose,17,31/07/2017,Expanded inspection,Italy - Venice,5,,,,,
9633549,SHOVKET ALEKPEROVA,Malta,Chemical tanker,5,31/07/2017,Initial inspection,France - Marseille (GPM),2,,,,,
9353735,VEGA PHILIPP,Portugal,Container,11,31/07/2017,More detailed inspection,Ireland - Dublin,1,,,,,
9181132,WILD COSMOS,Panama,Refrigerated cargo,19,31/07/2017,More detailed inspection,Russian Federation - Saint Petersburg,2,,,,,
9390109,WILSON DUBLIN,Antigua and Barbuda,General cargo/multipurpose,19,31/07/2017,Initial inspection,Belgium - Gent,1,,,,,
9217333,AMAK SWAN,Denmark,Chemical tanker,17,01/08/2017,Expanded inspection,Spain - Algeciras,1,,,,,
7814450,BAR PROTECTOR,Saint Kitts and Nevis,Special purpose ship,37,01/08/2017,More detailed inspection,Italy - Trieste,3,,,,,
9057264,BERAT,Panama,General cargo/multipurpose,23,01/08/2017,More detailed inspection,Russian Federation - Temryuk,10,,,,,
9268253,CLAUS,"Gibraltar, UK",Chemical tanker,13,01/08/2017,Expanded inspection,Germany - Brunsbuttel,1,,,,,
9031430,CPT. AHMAD II,Belize,General cargo/multipurpose,26,01/08/2017,More detailed inspection,Italy - Porto Nogaro,1,,,,,
9248904,DIAS,Liberia,Bulk carrier,16,01/08/2017,Expanded inspection,Spain - Tarragona,2,,,,,
1007677,DOMANI,Marshall Islands,Commercial yacht,15,01/08/2017,More detailed inspection,Italy - Viareggio,1,,,,,
9676591,ECKERT OLDENDORFF,Malta,General cargo/multipurpose,3,01/08/2017,More detailed inspection,United Kingdom - Newport (Gwent),2,,,,,
8214968,EURIKA,Lithuania,General cargo/multipurpose,34,01/08/2017,More detailed inspection,Italy - Olbia,2,,,,,
7203895,FARAH,Togo,General cargo/multipurpose,46,01/08/2017,Expanded inspection,Croatia - Rijeka,9,,,,,
9252503,GEO BARENTS,Norway,Other special activities,16,01/08/2017,Initial inspection,Germany - Bremerhaven,1,,,,,
9543419,HALKI,Marshall Islands,Bulk carrier,6,01/08/2017,Initial inspection,Italy - Savona,2,,,,,
9515747,HAMMONIA MALTA,Liberia,Bulk carrier,7,01/08/2017,More detailed inspection,Netherlands - Amsterdam,2,,,,,
9177894,HESTIA,Antigua and Barbuda,General cargo/multipurpose,19,01/08/2017,More detailed inspection,Spain - Santander,7,,,,,
7801556,HORIZON GEOBAY,Panama,Special purpose ship,39,01/08/2017,More detailed inspection,United Kingdom - Montrose,12,,,,,
6807591,JAN LEENHEER,Netherlands,Other special activities,50,01/08/2017,Initial inspection,United Kingdom - Tyne,4,,,,,
9226803,KURLAND,Cyprus,General cargo/multipurpose,19,01/08/2017,More detailed inspection,France - Fecamp,1,,,,,
9587180,MAPLE GLORY,Hong Kong (China),Bulk carrier,6,01/08/2017,More detailed inspection,Poland - Szczecin,5,,,,,
9462304,MED BALTIC,Malta,Oil tanker,8,01/08/2017,Initial inspection,France - Le Havre (GPM),1,,,,,
8847349,MISTRESS,Malta,Commercial yacht,26,01/08/2017,More detailed inspection,Italy - Genoa,2,,,,,
9452127,MUZAFFER BEY,Panama,General cargo/multipurpose,11,01/08/2017,More detailed inspection,United Kingdom - Gibraltar,7,,,,,
9611292,NINA MARIE,Liberia,Bulk carrier,6,01/08/2017,More detailed inspection,Latvia - Riga,3,,,,,
1010416,NINKASI,"Cayman Islands, UK",Commercial yacht,9,01/08/2017,More detailed inspection,Italy - Naples,1,,,,,
8849610,OREL-2,Ukraine,General cargo/multipurpose,27,01/08/2017,More detailed inspection,Bulgaria - Burgas,11,,,,,
8888094,PHOBUS,Russian Federation,General cargo/multipurpose,36,01/08/2017,More detailed inspection,Italy - Chioggia,5,,,,,
9665554,SENTINEL,Liberia,Bulk carrier,5,01/08/2017,More detailed inspection,Canada - Vancouver,4,,,,,
1011006,SILVER WAVE,Malta,Commercial yacht,9,01/08/2017,Initial inspection,Italy - Naples,5,,,,,
9227871,SOTRA,Malta,Bulk carrier,17,01/08/2017,Expanded inspection,Canada - Trois Rivieres,2,,,,,
9428932,STENA FORTH,United Kingdom,Other special activities,9,01/08/2017,More detailed inspection,Spain - Las Palmas,4,,,,,
9616113,SUPER VALENTINA,Marshall Islands,Bulk carrier,6,01/08/2017,More detailed inspection,Italy - Ravenna,3,,,,,
9314753,TRANS EXETER,Malta,Chemical tanker,13,01/08/2017,Expanded inspection,Netherlands - Rotterdam,3,,,,,
9525857,UMM SALAL,Malta,Container,6,01/08/2017,More detailed inspection,Canada - Delta Port,2,,,,,
8203555,ZUZANNA,Cook Islands,General cargo/multipurpose,35,01/08/2017,More detailed inspection,Norway - Svelvik,7,,,,,
9097331,AYLAH,Jordan,Ro-Ro passenger ship,11,02/08/2017,More detailed inspection,Spain - Algeciras,2,,,,,
6919514,BISLAN,"Moldova, Republic of",General cargo/multipurpose,48,02/08/2017,Expanded inspection,Russian Federation - Eysk,20,Detention,,,,
7707839,BLACK SEA S,"Moldova, Republic of",General cargo/multipurpose,39,02/08/2017,More detailed inspection,Romania - Constanta,19,Detention,,,,
8609931,BONITA,Latvia,General cargo/multipurpose,31,02/08/2017,More detailed inspection,Lithuania - Klaipeda,6,,,,,
9615729,BRITAIN BAY,Panama,General cargo/multipurpose,6,02/08/2017,Initial inspection,Spain - Huelva,2,,,,,
8981896,BUYUK HIZIR REIS,Turkey,Passenger ship,16,02/08/2017,More detailed inspection,Greece - Kos,1,,,,,
9314442,CHELSEA-2,Malta,General cargo/multipurpose,13,02/08/2017,Initial inspection,Russian Federation - Azov,3,,,,,
9325843,CHEMROAD FUJI,Panama,Chemical tanker,12,02/08/2017,Expanded inspection,Belgium - Antwerpen,12,,,,,
9211078,FRI KVAM,Cyprus,General cargo/multipurpose,19,02/08/2017,More detailed inspection,Latvia - Riga,2,,,,,
9338058,FRISIA OSLO,Liberia,Container,10,02/08/2017,More detailed inspection,Germany - Hamburg,7,,,,,
9728124,GENEVA STAR,Singapore,Bulk carrier,2,02/08/2017,More detailed inspection,France - Nantes-Saint Nazaire (GPM),1,,,,,
5140697,HALAS-71,Turkey,Passenger ship,102,02/08/2017,Expanded inspection,Greece - Kos,1,,,,,
8800157,HAVBRIS,Saint Vincent and the Grenadines,General cargo/multipurpose,29,02/08/2017,More detailed inspection,Norway - Oslo,7,,,,,
9266231,JO KIRI,Singapore,Chemical tanker,15,02/08/2017,Expanded inspection,Belgium - Antwerpen,2,,,,,
9162667,LEONIE P,Antigua and Barbuda,Container,23,02/08/2017,More detailed inspection,Malta - Marsaxlokk,2,,,,,
1013119,LILI,"Cayman Islands, UK",Commercial yacht,2,02/08/2017,More detailed inspection,Ireland - Dublin,10,,,,,
9290505,MARE AMBASSADOR,Marshall Islands,Oil tanker,12,02/08/2017,Expanded inspection,Denmark - Skagen,2,,,,,
9175717,MARENO,Antigua and Barbuda,Container,19,02/08/2017,Initial inspection,Italy - Gioia tauro,3,,,,,
8421987,MARIA QUEEN,Sierra Leone,General cargo/multipurpose,32,02/08/2017,More detailed inspection,Italy - Marina di carrara,3,,,,,
8740931,MEWO NAVIGATOR,"Jersey, UK",Other special activities,48,02/08/2017,Initial inspection,Poland - Gdynia,2,,,,,
7510626,MTS VICTORY,United Kingdom,Tug,41,02/08/2017,More detailed inspection,Spain - Las Palmas,5,,,,,
8101434,MUSE,Palau,General cargo/multipurpose,35,02/08/2017,Expanded inspection,Russian Federation - Taganrog,4,,,,,
9312808,NYK VESTA,Panama,Container,10,02/08/2017,Initial inspection,Germany - Hamburg,2,,,,,
7041053,PACIFIC M,Togo,Livestock carrier,47,02/08/2017,Expanded inspection,Romania - Midia,9,,,,,
9513373,PUFFY,Malta,General cargo/multipurpose,9,02/08/2017,More detailed inspection,Spain - Valencia,1,,,,,
9474125,RESILIENCE,Malta,Commercial yacht,11,02/08/2017,Initial inspection,Italy - Lipari,2,,,,,
9194830,RIX ELEONORA,Portugal,General cargo/multipurpose,19,02/08/2017,More detailed inspection,Germany - Bremen,11,,,,,
9447641,SKANDI SAIGON,Norway,Tug,7,02/08/2017,Initial inspection,United Kingdom - Aberdeen,4,,,,,
9831725,SKYLER,Jamaica,Commercial yacht,3,02/08/2017,More detailed inspection,Italy - Lipari,4,,,,,
8230120,SOLKA 2,"Tanzania, United Republic of",General cargo/multipurpose,47,02/08/2017,More detailed inspection,Russian Federation - Azov,7,,,,,
9044932,SWE-BULK,Cyprus,General cargo/multipurpose,26,02/08/2017,More detailed inspection,Sweden - Helsingborg,11,Detention,,,,
1011173,TURQUOISE,"Isle of Man, UK",Commercial yacht,9,02/08/2017,More detailed inspection,Italy - Naples,6,Detention,,,,
9381421,Y.DADAYLI,Panama,General cargo/multipurpose,9,02/08/2017,More detailed inspection,France - Bayonne,5,,,,,
7422881,YEOMAN BANK,Liberia,Bulk carrier,42,02/08/2017,Expanded inspection,United Kingdom - Liverpool,6,,,,,
9428437,AC-D,Malta,Chemical tanker,10,03/08/2017,Initial inspection,Russian Federation - Temryuk,5,,,,,
9603594,BALAO,Marshall Islands,Container,4,03/08/2017,More detailed inspection,Canada - Fraser-Surrey Docks,1,,,,,
8520513,BALTIC MOON,Saint Vincent and the Grenadines,Refrigerated cargo,31,03/08/2017,More detailed inspection,Russian Federation - Saint Petersburg,2,,,,,
9243497,BALTIC SEA,Hong Kong (China),Bulk carrier,16,03/08/2017,Expanded inspection,United Kingdom - Silvertown,1,,,,,
9216171,BORAQ,Morocco,High speed passenger craft,17,03/08/2017,More detailed inspection,Spain - Tarifa,8,,,,,
9429209,CARAT,Malta,Container,8,03/08/2017,More detailed inspection,Croatia - Split,4,,,,,
9479955,COREMAR BLU,Malta,Tug,11,03/08/2017,More detailed inspection,Romania - Constanta,3,,,,,
9205885,FEDERAL KIVALINA,Marshall Islands,Bulk carrier,18,03/08/2017,Expanded inspection,Canada - Sault Ste. Marie,1,,,,,
9277412,FRANCOP,Antigua and Barbuda,Container,15,03/08/2017,Initial inspection,France - Le Havre (GPM),2,,,,,
9743916,GASCHEM ORCA,Liberia,Gas carrier,1,03/08/2017,More detailed inspection,United Kingdom - Teesport,1,,,,,
9472737,GINGA BOBCAT,Panama,Chemical tanker,8,03/08/2017,Initial inspection,Belgium - Antwerpen,2,,,,,
9665932,IBIS WIND,Panama,Bulk carrier,5,03/08/2017,More detailed inspection,Spain - Bilbao,1,,,,,
8521672,LARA 1,Panama,Other special activities,31,03/08/2017,More detailed inspection,United Kingdom - Liverpool,2,,,,,
9397183,MANUEL GUAL,Panama,General cargo/multipurpose,9,03/08/2017,More detailed inspection,France - Rouen (GPM),5,,,,,
9051492,MSC NILGUN,Panama,Container,23,03/08/2017,More detailed inspection,Canada - Montreal,1,,,,,
7740570,NEFTERUDOVOZ-29M,Russian Federation,Oil tanker,39,03/08/2017,Expanded inspection,Bulgaria - Varna,11,,,,,
7704849,NORDVAG,Denmark,General cargo/multipurpose,39,03/08/2017,More detailed inspection,Lithuania - Klaipeda,7,,,,,
8853594,OREL-5,Ukraine,General cargo/multipurpose,26,03/08/2017,More detailed inspection,Bulgaria - Burgas,18,Detention,,,,
9724752,SKYFALL,Liberia,Bulk carrier,2,03/08/2017,Initial inspection,United Kingdom - Immingham,1,,,,,
8971815,SS DELPHINE,Portugal,Passenger ship,96,03/08/2017,Expanded inspection,Croatia - Dubrovnik,2,,,,,
8422644,STK-1007,Russian Federation,General cargo/multipurpose,34,03/08/2017,Initial inspection,Finland - Kaskinen,2,,,,,
9133771,VIKA,Belize,Bulk carrier,20,03/08/2017,Expanded inspection,Belgium - Antwerpen,8,,,,,
9234290,VIRGINIABORG,Netherlands,General cargo/multipurpose,19,03/08/2017,Initial inspection,Denmark - Aalborg,2,,,,,
9322011,VORONEZH,Cyprus,Container,9,03/08/2017,More detailed inspection,Germany - Hamburg,1,,,,,
9107851,WIND,Denmark,Other special activities,22,03/08/2017,More detailed inspection,United Kingdom - Barrow in Furness,3,,,,,
9217565,AMANDA D,Portugal,Container,17,04/08/2017,More detailed inspection,Germany - Bremerhaven,2,,,,,
7614666,ANDROMEDA,"Tanzania, United Republic of",General cargo/multipurpose,38,04/08/2017,Expanded inspection,Greece - Aspropirgos,36,Detention,,,,
9231145,ATLANTIC NAVIGATOR II,Malta,General cargo/multipurpose,15,04/08/2017,More detailed inspection,Russian Federation - Saint Petersburg,1,,,,,
8608054,AUTO ATLAS,Panama,Ro-Ro cargo,30,04/08/2017,More detailed inspection,Canada - Fraser-Surrey Docks,2,,,,,
5336600,AVONTUUR,Germany,General cargo/multipurpose,97,04/08/2017,More detailed inspection,France - La Rochelle- La Pallice (GPM),1,,,,,
7904920,AYDER,Belize,General cargo/multipurpose,38,04/08/2017,Initial inspection,Russian Federation - Eysk,3,,,,,
9501265,BBC OREGON,Antigua and Barbuda,General cargo/multipurpose,9,04/08/2017,More detailed inspection,United Kingdom - Sheerness,3,,,,,
9603087,DYNASTY SHANG,Marshall Islands,Bulk carrier,5,04/08/2017,More detailed inspection,Italy - Ravenna,4,,,,,
9299501,ENERGIZER,Netherlands,Container,14,04/08/2017,More detailed inspection,Norway - Brevik,3,,,,,
9616187,FAR SCOTSMAN,"Isle of Man, UK",Offshore supply,6,04/08/2017,Initial inspection,Denmark - Esbjerg,3,,,,,
9595888,FEDERAL SABLE,Marshall Islands,Bulk carrier,6,04/08/2017,More detailed inspection,Canada - Montreal,4,,,,,
9175274,FRIO VLADIVOSTOK,Russian Federation,Refrigerated cargo,19,04/08/2017,Initial inspection,Netherlands - Amsterdam,3,,,,,
6519326,HEPHAESTUS,Togo,Oil tanker,52,04/08/2017,Expanded inspection,Greece - Piraeus,5,,,,,
7933414,KRISTI,Albania,Passenger ship,41,04/08/2017,More detailed inspection,Greece - Kerkira (Corfu),7,,,,,
9559169,LAURUS,"Moldova, Republic of",General cargo/multipurpose,9,04/08/2017,Expanded inspection,Romania - Constanta,6,,,,,
8660349,MOLIVER,Malta,Commercial yacht,8,04/08/2017,More detailed inspection,Italy - Naples,5,Detention,,,,
9279965,MSC FABIENNE,Panama,Container,13,04/08/2017,Initial inspection,Germany - Bremerhaven,2,,,,,
9774264,NAVIOS CORAL,Panama,Bulk carrier,2,04/08/2017,More detailed inspection,Ireland - Aughinish,4,,,,,
9403114,NORD EXPRESS,Singapore,Bulk carrier,10,04/08/2017,Initial inspection,Canada - Baie Comeau,1,,,,,
9017422,PASADENA,Antigua and Barbuda,General cargo/multipurpose,25,04/08/2017,Initial inspection,Ireland - Cork including Whitegate,3,,,,,
9712486,SBI SAMBA,Marshall Islands,Bulk carrier,3,04/08/2017,More detailed inspection,Latvia - Riga,1,,,,,
9596777,SEYMA,Malta,Chemical tanker,7,04/08/2017,Initial inspection,France - Marseille (GPM),2,,,,,
9786243,SM FALCON,Panama,Chemical tanker,1,04/08/2017,More detailed inspection,Netherlands - Rotterdam,2,,,,,
7422180,SNOW WHITE,Sierra Leone,General cargo/multipurpose,41,04/08/2017,Expanded inspection,Romania - Midia,8,,,,,
9623219,SUN RISE,Marshall Islands,Heavy load,5,04/08/2017,Initial inspection,Poland - Gdynia,2,,,,,
9195860,TAHA,Malta,General cargo/multipurpose,19,04/08/2017,More detailed inspection,Bulgaria - Varna,1,,,,,
9388479,THUN GREENWICH,Netherlands,Chemical tanker,11,04/08/2017,More detailed inspection,United Kingdom - Liverpool,4,,,,,
9293428,UN MARMARA,Turkey,Ro-Ro cargo,12,04/08/2017,More detailed inspection,Italy - Trieste,1,,,,,
6600618,VASTANVIK,Sweden,General cargo/multipurpose,51,04/08/2017,More detailed inspection,Denmark - Aalborg Portland,1,,,,,
9594509,WARNOW VENUS,Liberia,General cargo/multipurpose,8,04/08/2017,Initial inspection,Belgium - Antwerpen,2,,,,,
9126302,ARISTIMO,Belize,Bulk carrier,20,05/08/2017,Expanded inspection,Romania - Midia,5,,,,,
9561801,ARKI,Panama,Bulk carrier,6,05/08/2017,More detailed inspection,Greece - Voudia Milou,3,,,,,
6810055,BONNIE B,Cyprus,Oil tanker,49,05/08/2017,Expanded inspection,Greece - Eleusina (Elefsis),13,,,,,
9131292,CHRISTOS XXXIII,Greece,Tug,22,05/08/2017,More detailed inspection,Russian Federation - Kavkaz,3,,,,,
9595852,CHRYSSA K,Liberia,Bulk carrier,5,05/08/2017,More detailed inspection,Netherlands - Rotterdam,3,,,,,
9290830,EMERALD STARS,Marshall Islands,Oil tanker,12,05/08/2017,Expanded inspection,Russian Federation - Kavkaz,4,Detention,,,,
9801172,FLORENTINE OETKER,Liberia,Bulk carrier,1,05/08/2017,Initial inspection,United Kingdom - South Shields,3,,,,,
1005930,KATHARINE,"Cayman Islands, UK",Commercial yacht,20,05/08/2017,More detailed inspection,Italy - Golfo aranci,3,,,,,
8332100,M. TURHAN MILDON,Turkey,General cargo/multipurpose,34,05/08/2017,More detailed inspection,Greece - Siteia,5,,,,,
7625811,OCEAN ENDEAVOUR,Bahamas,Passenger ship,36,05/08/2017,More detailed inspection,Canada - Rankin Inlet,2,,,,,
9519626,PERISTIL,Croatia,Bulk carrier,8,05/08/2017,Initial inspection,Italy - Salerno,1,,,,,
8412699,SAMSKIP ICE,Bahamas,Refrigerated cargo,32,05/08/2017,More detailed inspection,Russian Federation - Saint Petersburg,1,,,,,
9624500,SEA STAR,Marshall Islands,Bulk carrier,5,05/08/2017,More detailed inspection,Latvia - Riga,3,,,,,
9233387,SIKANIA,Liberia,Bulk carrier,16,05/08/2017,Expanded inspection,Netherlands - Rotterdam,3,,,,,
9245304,TARADIS,"Iran, Islamic Republic of",General cargo/multipurpose,15,05/08/2017,Initial inspection,Russian Federation - Astrakhan,9,,,,,
9807827,TOSCANA,Italy,Tug,1,05/08/2017,Initial inspection,Croatia - Pula,1,,,,,
8997194,ATALANTI,Luxembourg,Commercial yacht,14,06/08/2017,More detailed inspection,Greece - Inousses,1,,,,,
9628116,BEKS YILMAZ,Marshall Islands,Bulk carrier,5,06/08/2017,Initial inspection,France - Marseille (GPM),2,,,,,
9506564,BONITA,Panama,General cargo/multipurpose,8,06/08/2017,More detailed inspection,France - Marseille (GPM),15,Detention,,,,
9752254,HORIZON STAR,Canada,Offshore supply,2,06/08/2017,More detailed inspection,United Kingdom - Peterhead,2,,,,,
8721351,KASMA,"Iran, Islamic Republic of",General cargo/multipurpose,32,06/08/2017,More detailed inspection,Russian Federation - Astrakhan,13,,,,,
9187928,KRISTELLA,Malta,General cargo/multipurpose,19,06/08/2017,More detailed inspection,Russian Federation - Kaliningrad,4,,,,,
9315214,MAERSK SERANGOON,Singapore,Container,10,06/08/2017,More detailed inspection,Malta - Marsaxlokk,1,,,,,
8019394,SIMON PRINCESS,Norway,Other special activities,36,06/08/2017,Initial inspection,United Kingdom - Stornoway,7,,,,,
7359278,SUNNY LISA,Saint Kitts and Nevis,Refrigerated cargo,43,06/08/2017,More detailed inspection,Russian Federation - Murmansk,4,,,,,
9466300,ALBANYBORG,Netherlands,General cargo/multipurpose,8,07/08/2017,Initial inspection,Belgium - Antwerpen,1,,,,,
9225029,ALCYON,Bahamas,Bulk carrier,16,07/08/2017,Expanded inspection,Russian Federation - Kavkaz,2,,,,,
9250567,AMAR GLYFADA,Belize,Bulk carrier,15,07/08/2017,Expanded inspection,Cyprus - Larnaca,8,,,,,
9111357,BOSPHORUS KING,Panama,Bulk carrier,22,07/08/2017,Expanded inspection,Russian Federation - Kavkaz,4,,,,,
9158472,BUGSIER 19,Germany,Tug,20,07/08/2017,Initial inspection,United Kingdom - Blyth,3,,,,,
9146106,COMET,Liberia,Bulk carrier,21,07/08/2017,Expanded inspection,Greece - Heraclion (Crete),11,,,,,
9350886,CORAL LOPHELIA,Liberia,Gas carrier,12,07/08/2017,Expanded inspection,Norway - Rafsnes,1,,,,,
9221102,COSCO SINGAPORE,United Kingdom,Container,16,07/08/2017,More detailed inspection,Greece - Piraeus,2,,,,,
8223309,DEMETRIOS B.,Malta,General cargo/multipurpose,35,07/08/2017,More detailed inspection,Greece - Rhodes,1,,,,,
9254575,EMMAKRIS II,Panama,Bulk carrier,15,07/08/2017,Expanded inspection,Russian Federation - Kavkaz,2,,,,,
9509956,FLEVOGRACHT,Netherlands,General cargo/multipurpose,8,07/08/2017,More detailed inspection,Bulgaria - Burgas,8,,,,,
9123300,FORESTER,Germany,General cargo/multipurpose,23,07/08/2017,Initial inspection,Greece - Stylis,1,,,,,
9774197,GAS VENUS,Panama,Gas carrier,1,07/08/2017,More detailed inspection,Belgium - Antwerpen,2,,,,,
9375604,GOTLAND ALIYA,Bahamas,Chemical tanker,9,07/08/2017,More detailed inspection,Lithuania - Klaipeda,1,,,,,
9326835,HAMMONIA HUSUM,Liberia,Container,11,07/08/2017,Initial inspection,Germany - Hamburg,4,,,,,
9584877,INDIGO FLORA,Marshall Islands,Bulk carrier,5,07/08/2017,Initial inspection,Netherlands - Rotterdam,3,,,,,
9395355,JUTLANDIA SEAWAYS,United Kingdom,Ro-Ro cargo,8,07/08/2017,Initial inspection,Germany - Cuxhaven,3,,,,,
9114725,KADRI,Malta,General cargo/multipurpose,22,07/08/2017,More detailed inspection,Poland - Szczecin,2,,,,,
9180841,KAROLI,Malta,General cargo/multipurpose,19,07/08/2017,More detailed inspection,France - Caen - Ouistreham,1,,,,,
8972259,LEONID ZAYAKIN,Panama,General cargo/multipurpose,32,07/08/2017,More detailed inspection,Russian Federation - Rostov/Don,3,Detention,,,,
9252929,MARIE,Belgium,General cargo/multipurpose,19,07/08/2017,More detailed inspection,United Kingdom - Gunness Wharf (Scunthorpe),2,,,,,
9138305,MONEMVASIA,Liberia,Container,19,07/08/2017,More detailed inspection,Spain - Algeciras,2,,,,,
9169031,MSC MARYLENA,Portugal,Container,19,07/08/2017,More detailed inspection,Italy - Ravenna,2,,,,,
9216236,OCEAN EAGLE,Marshall Islands,Bulk carrier,16,07/08/2017,Expanded inspection,Spain - Tarragona,2,,,,,
9498315,PARISIANA,Liberia,Bulk carrier,6,07/08/2017,More detailed inspection,United Kingdom - Gibraltar,11,Detention,,,,
9745938,SAMJOHN ARGONAUT,Marshall Islands,Bulk carrier,1,07/08/2017,More detailed inspection,Netherlands - Rotterdam,7,,,,,
9522910,SHAH,Liberia,Bulk carrier,7,07/08/2017,Initial inspection,Romania - Constanta,1,,,,,
9284300,SSI CHALLENGER,Marshall Islands,Bulk carrier,13,07/08/2017,Expanded inspection,Romania - Constanta,7,,,,,
9548342,SVITZER TYR,Faroe Islands,Tug,8,07/08/2017,More detailed inspection,Sweden - Goteborg,1,,,,,
8312071,UNI-BROTHERS,Sierra Leone,Bulk carrier,33,07/08/2017,Expanded inspection,Bulgaria - Varna,5,,,,,
9150494,WILSON BRUGGE,Malta,General cargo/multipurpose,21,07/08/2017,More detailed inspection,Poland - Nowy Port/Gdansk,3,,,,,
9056040,WILSON GRIMSBY,Barbados,General cargo/multipurpose,25,07/08/2017,More detailed inspection,Sweden - Falkenberg,3,,,,,
9308754,ANGLEVIKEN,Malta,Chemical tanker,13,08/08/2017,More detailed inspection,France - Bordeaux (GPM),1,,,,,
9361720,ARKLOW FAME,Ireland,General cargo/multipurpose,11,08/08/2017,More detailed inspection,Belgium - Gent,1,,,,,
9349760,ASTERION,Greece,Ro-Ro passenger ship,12,08/08/2017,Expanded inspection,Italy - Venice,4,,,,,
9670585,ATLANTIC SAIL,United Kingdom,Ro-Ro cargo,3,08/08/2017,Initial inspection,Germany - Hamburg,3,,,,,
